run_id,mechanism,nb_nodes,expected_degree,size_longest_path_in_graph,noise_coeff,nb_observations,predicted_variable,predicted_variable_node_type,weight_threshold,frac_filtered,frac_augmented,avg_weight_aug_in_train,avg_weight_aug_NOT_in_train,sum_weight_aug_in_train,sum_weight_aug_NOT_in_train,SUM_aug_weights,MAPE_CausalDA,MAPE_Baseline,r2_CausalDA,r2_Baseline,n_estimators_CausalDA,n_estimators_Baseline,reg_lambda_CausalDA,reg_lambda_Baseline,KL_div_train_vs_aug_NOT_weighted,KL_div_train_vs_aug_weighted,Wasserstein_dist_train_vs_aug_NOT_weighted,Wasserstein_dist_train_vs_aug_weighted,variance_train_NOT_weighted,variance_aug_NOT_weighted,variance_aug_weighted
1,nn,10,3,9,0.1,500,V0,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0241376772522842,0.0390969208332035,0.999145594907508,0.9981363423083472,50.0,200,1.0,100,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V1,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0785530610918359,0.0809555924488327,0.9943634698058672,0.9939604310568154,200.0,200,1.0,1,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V2,source_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0796834239733719,0.0886411216902922,0.9975549896787624,0.997681812799014,200.0,50,1.0,1,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V3,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.1607603070023429,0.1618434254537006,0.9790528928031136,0.979558547683488,200.0,200,10.0,10,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V4,sink_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0617318622463558,0.062205221338511,0.9966844087620108,0.9967844182084008,200.0,200,1.0,100,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V5,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0336119684960676,0.032614453950859,0.9982972015768748,0.9983441620508284,200.0,200,100.0,100,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V6,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0284260299801318,0.0263553315757309,0.9990910430009722,0.9991371633821664,50.0,200,1.0,1,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V7,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0724414100433406,0.074549997879809,0.9959723797529928,0.9947074619212504,200.0,200,1.0,100,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V8,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0227821314136862,0.0260695872422774,0.9996604655114308,0.9995526770672768,200.0,200,1.0,1,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
1,nn,10,3,9,0.1,500,V9,middle_node,0.01,0.0,0.5771428571428572,0.0020908235454633,0.0005095914549035,0.7317882409121844,0.1029374738905155,0.8347257148026999,0.0406727936881214,0.045081896578067,0.9981773246862778,0.9975959480167989,200.0,200,1.0,1,0.0003741601452542,5.331627980362236e-05,0.3178045104598503,0.2726872224689248,"[0.98787187 0.98095955 0.98802494 1.01222843 0.99822938 0.9877797
 0.98695151 0.99122731 0.98895922 0.9892547 ]","[1.03554218 1.03643199 1.04840745 1.01573989 1.04302993 1.02793095
 1.04172024 1.05824421 1.04328931 1.04023036]","[0.99350941 0.99504346 0.98952723 1.01453607 0.99814317 0.99153967
 0.9942572  1.00468166 0.98978428 0.99699452]"
